Name,Description,Points,IsFungo,RewardTokens
T1-COL: Trottola,Avete la stessa abilita a lavorare il legno di un picchio laborioso? Intagliate una trottola di legno passo per passo. Ogni membro deve costruirne una e inciderci il nome della pattuglia. Maneggiate il coltellino sempre in sicurezza. La sfida e superata se portate allo sportello tutte le trottole completate.,20,True,0
T2-COL: Forchetta,Siete abili a modellare il legno come un meticoloso castoro? Intagliate una forchetta di legno passo per passo. Ogni membro deve costruirne una e inciderci il nome della pattuglia. Maneggiate il coltellino sempre in sicurezza. La sfida e superata se portate allo sportello tutte le forchette completate.,30,True,0
T3-OR: Dai punti alle coordinate,Siete in grado di orientarvi nella foresta senza perdervi? Preparate lo scalimetro ed estraete con precisione le coordinate di tutti i punti marcati sulla cartina. La cartina si trova allo sportello sfide. La sfida e superata se riportate allo sportello una lista con tutte le coordinate dei punti.,10,True,0
T4-OR: Dalle coordinate ai punti,"Siete in grado di orientarvi senza girare a vuoto? Marcate sulla cartina i punti relativi alle coordinate ricevute. Il foglio con le coordinate, la cartina vuota e lo scalimetro si trovano allo sportello sfide. La sfida e superata se riportate allo sportello la cartina con tutti i punti marcati correttamente.",10,True,0
T5-NO: Esecuzione nodi,"Avete la precisione di un ragno che tesse la ragnatela? Costruite un ponte di nodi in miniatura con cordini e rametti, eseguendo: due congiunzioni quadrate, un nodo piatto, un nodo bocca di lupo, un nodo quadrato, un nodo del pescatore e un nodo barcaiolo. La sfida e superata se portate allo sportello il ponte con tutti i nodi impeccabili.",20,True,0
T6-TT: Cruciverba teli e tende,"Anche l orso piu possente deve conoscere i segreti di un riparo sicuro. Mettete alla prova il vostro vocabolario tecnico su picchetti, teli militari e tiranti risolvendo il cruciverba allegato. La sfida e superata se vi presentate allo sportello con tutte le caselle compilate correttamente.",10,True,0
T7-PS: Cruciverba pronto soccorso,"Nella natura selvaggia, un branco unito sa come prendersi cura dei propri compagni. Dimostrate di avere le nozioni mediche necessarie risolvendo il cruciverba dedicato al pronto soccorso. La sfida e superata se vi presentate allo sportello con la griglia risolta senza errori.",10,True,0
T8-ES: Cruciverba escursionismo,"Per dominare i sentieri impervi serve equipaggiamento impeccabile e preparazione tecnica. Sfoderate le vostre conoscenze su zaini, sicurezza in montagna e lettura del territorio per completare il cruciverba allegato. La sfida e superata se vi presentate allo sportello con la soluzione completa.",10,True,0
T9-TR: Morse e crittografia livello 1,"Avete la mente acuta di una volpe? Qui trovate un misterioso messaggio in codice Morse da decifrare, ma attenzione: c e un trucco speciale! Aguzzate l ingegno per svelare la frase segreta a tema foresta. La sfida e superata se vi presentate allo sportello con la traduzione esatta del messaggio.",10,True,0
T10-TR: Morse e crittografia livello 2,"Avete l astuzia di un vecchio gufo? Si nasconde un nuovo messaggio in codice Morse da decifrare, ma questa volta la sfida e doppia! Per svelare la vera frase segreta, tutti gli elementi devono scivolare al loro posto. La sfida e superata se vi presentate allo sportello con la traduzione esatta del messaggio.",20,True,0
T11-TR: Morse e crittografia livello 3,Siete pronti a scalare le vette dell ingegno? Troverete un nuovo enigma mega tosto. Ogni lettera si nasconde dietro un cespuglio diverso. Per districare il groviglio e svelare la frase segreta vi servira tutto il vostro acume. La sfida e superata se vi presentate allo sportello con la traduzione esatta del messaggio.,30,True,0
T12-TR: Comunicazione morse,Per comunicare da un versante all altro della foresta serve un intesa perfetta come un branco di lupi! Dividete la pattuglia in trasmettitori e ricevitori. I trasmettitori ritirano le bandiere morse allo sportello e trasmettono la frase. I ricevitori trascrivono il messaggio. La sfida e superata se il messaggio viene ricevuto correttamente.,30,True,0
T13-TT: Maquette Gottardo,"Siete capaci di progettare un rifugio con la meticolosita di un tasso? Realizzate un modellino in scala di una tenda Gottardo, rispettando struttura, materiali, teli militari, tiranti e sardine. Ritirate allo sportello la base di sagex e gli stuzzicadenti. La sfida e superata se vi presentate allo sportello con la tenda Gottardo completata.",30,True,0
T14-TT: Maquette Busta,"Sapete costruire con la stessa organizzazione di una colonia di formiche? Realizzate un modellino in scala di una tenda Busta, rispettando struttura, teli militari, tiranti e sardine. Ritirate allo sportello la base di sagex e gli stuzzicadenti. La sfida e superata se vi presentate allo sportello con la tenda Busta completata.",30,True,0
T15-TT: Maquette Canadese,"Nel cuore della foresta un riparo solido fa la differenza! Realizzate un modellino in scala di una tenda Canadese, rispettando struttura, teli militari, tiranti e sardine. Ritirate allo sportello la base di sagex e gli stuzzicadenti. La sfida e superata se vi presentate allo sportello con la tenda Canadese completata.",20,True,0
T16-AP: Mini planetario,"Quando la notte scende sulla foresta, quanto distano davvero i pianeti? Procuratevi uno spago di 90 cm e posizionate un nodo per ogni pianeta alla distanza corretta. Legate un cordino diverso e un bigliettino con il nome per ogni pianeta. La sfida e superata se presentate allo sportello il mini planetario completo con tutte le misurazioni corrette.",30,True,0
T17-NA: Fotografia fauna,Per scovare gli abitanti dei piani altitudinali servono lo sguardo di un rapace e la furtivita di un gatto selvatico. La vostra missione e immortalare due veri animali nel perimetro del campo. Farvi prestare una macchina fotografica allo sportello. La sfida e superata se riportate la macchina intatta e mostrate gli scatti dei vostri incontri selvaggi.,10,True,0
T18-NA: Erbario,"Per studiare i segreti della flora serve la curiosita di una formica esploratrice. Compilate la pagina dell erbario con una pianta scovata nei dintorni: incollatene una foglia, aggiungete uno schizzo, descrivete le caratteristiche e annotate curiosita. La sfida e superata se vi presentate allo sportello con la pagina dell erbario ben compilata.",20,True,0
T19-OR: Geo-caching con azimut,"Per scovare tesori nascosti serve l infallibile bussola di una rondine. Ritirate le indicazioni di rotta allo sportello. Usando la bussola e seguendo gli azimut, trovate lo scrigno segreto nascosto nei dintorni e prelevate un elemento come prova. La sfida e superata se vi presentate allo sportello con la prova del vostro orientamento.",20,True,0
T20-OR: Geo-caching con carte particolari,"Per questo tesoro vi servira la vista acuta di un falco. Ritirate le indicazioni allo sportello: riceverete cartine particolari e inusuali. Imparando a leggerle, trovate lo scrigno segreto e prelevate un elemento come prova. La sfida e superata se vi presentate allo sportello con la prova della vostra abilita topografica.",20,True,0
T21-OR: Geo-caching con segni di pista,"Muovetevi con l attenzione di un lupo che segue le tracce. Allo sportello scoprite la posizione del primo indizio, poi tenete gli occhi aperti: la rotta e indicata da segni di pista scout. Seguite la traccia fino allo scrigno e prelevate un elemento come prova. La sfida e superata se vi presentate allo sportello con la prova del vostro fiuto.",10,True,0
T22-OR: Geo-caching con indovinelli,"Vi serviranno l ingegno e la mente affilata di una faina. Ritirate gli indizi allo sportello: la mappa e nascosta tra le parole di indovinelli che vi guidano. Il nascondiglio finale cambia ogni giorno. Una volta scovato lo scrigno, prelevate un elemento come prova. La sfida e superata se vi presentate allo sportello con la prova del vostro ingegno.",10,True,0
T23-NA: Traduzione e significato,La foresta della Valle di Blenio e antica e usa termini incomprensibili. Avete l orecchio di un cervo in ascolto? Trovate la traduzione in italiano di parole nel dialetto locale e spiegate a cosa servono. Chiedete in giro e compilate la lista. La sfida e superata se vi presentate allo sportello con tutte le traduzioni e significati corretti.,10,False,0
T24-AP: Impronta ecologica al campo,Per preservare i piani altitudinali serve la saggezza protettiva dell orso. Fotografate almeno 4 elementi del campo pensati per proteggere la natura e ridurre l impatto ecologico. Descriveteli e spiegate perche sono importanti. La sfida e superata se mostrate il vostro reportage ecologico completato allo sportello.,30,True,0
T25-NA: Disegno di un insetto,"Con la pazienza di una mantide in agguato, esplorate prati e boschi e scovate un insetto vero a sei zampe. Ritraetelo a matita nel modo piu realistico possibile aggiungendo una breve descrizione. La sfida e superata se mostrate la vostra opera naturalistica allo sportello. Un minimo di impegno non guasta!",20,False,0
T26-AP: Netturbino,"Siete pronti a ripulire il terreno con la tenacia di uno scarabeo stercorario? Questa prova a tempo vi vede competere contro un altra pattuglia. Allo sportello vi assegnano un tipo di rifiuto da cercare e parte il cronometro. Vince la pattuglia con il bottino piu grande! La sfida e superata dalla pattuglia vincente, ma sufficiente impegno la fa superare anche alle perdenti.",20,True,0
T27-NA: Rebus,"Siete perspicaci come una lince per svelare i segreti della foresta? Il rebus allegato nasconde il nome di un processo naturale fondamentale per la vita. Niente aiuti sulla lunghezza delle parole, dovrete cavarvela da soli! La sfida e superata se vi presentate allo sportello sussurrando la soluzione esatta al responsabile.",10,False,0
B1-ST: Stima la grandezza,"Un vero esploratore valuta spazi e quantita a colpo d occhio come uno scoiattolo che calcola il salto. Stimate le grandezze e dimensioni del campo indicate nel foglio allegato. Allo sportello sfide la sfida e superata solo se tutti i numeri rientrano nell intervallo di tolleranza segreto. Se la stima e errata, dovrete riprovare dopo qualche minuto.",10,False,0
